0715_sidePlank_bodyweight,1,0,0
0726_singleLegBridge_bodyweight,1,0,0
0736_sitUp_bodyweight,0,1,0
0748_benchPress_smith,1,0,0
0749_goodMorning_smith,1,0,0
0751_benchPressCloseGrip_smith,1,0,0
0752_deadlift_smith,1,0,0
0753_declineBenchPress_smith,1,0,0
0755_hackSquat_smith,1,0,0
0757_inclineBenchPress_smith,1,0,0
0760_legPress_smith,0,1,0
0766_shoulderPress_smith,0,1,0
0767_shrug_smith,0,1,0
0787_squat_bodyweight,0,1,0
0791_hipAbductor_bodyweight,0,1,0
0801_stepUp_bodyweight,1,0,0
0804_superman_bodyweight,0,1,0
0811_trapBarDeadlift_trapbar,1,0,0
0814_tricepsDip_bodyweight,0,1,0
0825_vUp_bodyweight,0,1,0
0834_frontRaise_bodyweight,0,1,0
0857_abWheel_bodyweight,1,0,0
0859_wristRoller_bodyweight,0,1,0
0860_cableKickback_cable,0,1,0
0861_seatedRow_cable,0,1,0
0873_reverseCrunch_cable,0,1,0
0879_hipAbductor_cable,0,1,0
0892_bentOverRow_band,0,1,0
0895_deadlift_band,0,1,0
0896_facePull_band,0,1,0
0897_hammerCurl_band,0,1,0
0899_hipAbductor_band,0,1,0
0905_kneelingPulldown_band,0,1,0
0907_lateralRaise_band,0,1,0
0911_lyingLegCurl_band,0,1,0
0913_chestPress_band,0,1,0
0914_tricepsExtension_band,0,1,0
0915_pushUp_band,0,1,0
0917_reverseCurl_band,0,1,0
0918_seatedRow_band,0,1,0
0923_inclineChestPress_band,0,1,0
0926_legExtension_band,0,1,0
0933_cableTwist_band,0,1,0
0934_uprightRow_band,0,1,0
0968_bicepCurl_band,0,1,0
0970_pullUp_band,0,1,0
0976_concentrationCurl_band,0,1,0
0978_frontRaise_band,0,1,0
0993_reverseFly_band,0,1,0
1003_squatRow_band,1,0,0
1008_stepUp_band,1,0,0
1009_stiffLegDeadlift_band,1,0,0
1010_straightLegDeadlift_band,1,0,0
1014_vUp_band,0,1,0
1018_shrug_band,0,1,0
1019_sideBend_band,0,1,0
1029_chestPress_leverageMachine,0,1,0
1030_pecDeck_leverageMachine,1,0,0
1039_squat_leverageMachine,1,0,0
1040_pistolSquat_leverageMachine,1,0,0
1060_hipThrust_barbell,1,0,0
1062_hipThrust_bodyweight,1,0,0
1165_overheadPress_barbell,0,1,0
1187_sitUp_kettlebell,0,1,0
1199_sumoDeadliftHighPull_barbell,1,0,0
1204_latPulldown_cable,1,0,0
1206_cablePullThrough_cable,1,0,0
1226_overheadPress_ezbar,0,1,0
1234_backExtension_bodyweight,1,0,0
1237_bentOverRow_leverageMachine,0,1,0
1254_benchPress_band,0,1,0
1289_inclineChestPress_dumbbell,1,0,0
1299_inclineChestPress_leverageMachine,0,1,0
1308_benchPressWideGrip_smith,0,1,0
1326_chinUp_bodyweight,0,1,0
1350_seatedRow_leverageMachine,0,1,0
1354_ballSlams_medicineball,1,0,0
1359_bentOverRow_smith,0,1,0
1372_standingCalfRaise_barbell,0,1,0
1373_standingCalfRaise_bodyweight,0,1,0
1375_standingCalfRaise_cable,0,1,0
1379_seatedCalfRaise_dumbbell,0,1,0
1385_calfPressOnSeatedLegPress_leverageMachine,1,0,0
1399_benchDip_bodyweight,0,1,0
1401_muscleUp_bodyweight,0,0,1
1429_widePullUp_bodyweight,0,1,0
1433_frontSquat_smith,0,1,0
1452_crunch_leverageMachine,0,1,0
1453_cableTwist_leverageMachine,0,1,0
1459_romanianDeadlift_dumbbell,1,0,0
1495_obliqueCrunch_bodyweight,0,1,0
1543_stiffLegDeadlift_barbell,1,0,0
1757_singleLegDeadlift_dumbbell,0,1,0
1851_pushPress_bodyweight,0,1,0
2146_hipThrust_leverageMachine,0,1,0
2192_ellipticalMachine_leverageMachine,0,1,0
2281_gobletSquat_dumbbell,0,1,0
2290_bulgarianSplitSquat_dumbbell,0,1,0
2318_shoulderPress_leverageMachine,1,0,0
2335_calfPressOnLegPress_leverageMachine,0,1,0
2404_bicepCurl_ezbar,0,1,0
2414_concentrationCurl_barbell,0,1,0
2432_benchPressCloseGrip_ezbar,0,1,0
2656_bicepCurl_cable,0,1,0
2760_hipThrust_band,0,1,0
2887_hangingLegRaise_cable,0,1,0
2900_preacherCurl_ezbar,0,1,0
2966_frontSquat_dumbbell,0,1,0
3017_pendlayRow_barbell,0,1,0
3281_squat_smith,0,1,0
3305_thruster_barbell,0,1,0
3322_deadlift_kettlebell,1,0,0
3336_vUp_dumbbell,0,1,0
3349_frontSquat_cable,1,0,0
3351_lunge_cable,0,1,0
3368_kettlebellSwing_dumbbell,1,0,0
3385_seatedLegPress_leverageMachine,1,0,0
3449_russianTwist_dumbbell,1,0,0
3454_superman_dumbbell,0,1,0
3571_kettlebellSwing_kettlebell,0,1,0
3585_singleLegDeadlift_bodyweight,0,1,0
3590_flatLegRaise_bodyweight,0,1,0
3646_skullcrusher_ezbar,1,0,0
3709_overheadSquat_dumbbell,0,1,0
3733_straightLegDeadlift_kettlebell,1,0,0
3738_benchPress_kettlebell,0,1,0
3740_lateralRaise_kettlebell,0,1,0
3747_pistolSquat_bodyweight,1,0,0
3759_goodMorning_leverageMachine,0,1,0
3888_snatch_dumbbell,0,0,1
3890_kneestoElbows_bodyweight,0,1,0
3891_toesToBar_bodyweight,0,0,1
3925_concentrationCurl_cable,0,1,0
3968_aroundTheWorld_dumbbell,1,0,0
