ID,Name,Equipment,BodyPart,Target,Synergist,URL
1080,Suspension Inverted Row,Suspension,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head",https://www.gymvisual.com/illustrations/1225-suspension-inverted-row.html
1081,Suspension Jack knife Pike,Suspension,Waist,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Obliques, Pectineous, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1226-suspension-jack-knife-pike.html
1082,Suspension Jack knife,Suspension,Waist,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Obliques, Pectineous, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1227-suspension-jack-knife.html
1083,Suspension Leg Curl,Suspension,Thighs,Hamstrings,Gastrocnemius,https://www.gymvisual.com/illustrations/1228-suspension-leg-curl.html
1084,Suspension Mountain Climber,Suspension,Hips,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1229-suspension-mountain-climber.html
1085,Suspension Pike,Suspension,Hips,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1230-suspension-pike.html
1086,Suspension Power Pull,Suspension,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Deltoid Posterior, Obliques, Pectoralis Major Sternal Head",https://www.gymvisual.com/illustrations/1231-suspension-power-pull.html
1087,Suspension Pull Through,Suspension,Back,Erector Spinae,"Gluteus Maximus, Hamstrings, Iliopsoas",https://www.gymvisual.com/illustrations/1232-suspension-pull-through.html
1088,Suspension Pull-up,Suspension,Back,Latissimus Dorsi,"Biceps Brachii, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1233-suspension-pull-up.html
1089,Suspension Rear Delt Row,Suspension,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Infraspinatus, Pectoralis Major Sternal Head, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1234-suspension-rear-delt-row.html
1090,Suspension Reverse Fly,Suspension,Shoulders,Deltoid Posterior ,"Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1235-suspension-reverse-fly.html
1091,Suspension Rollout,Suspension,Waist,Rectus Abdominis,"Deltoid Posterior, Latissimus Dorsi, Pectoralis Major Sternal Head, Teres Major",https://www.gymvisual.com/illustrations/1236-suspension-rollout.html
1092,Suspension Row,Suspension,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/1237-suspension-row.html
1093,Suspension Self assisted Chest Dip,Suspension,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1238-suspension-self-assisted-chest-dip.html
1094,Suspension Self assisted Pull-up,Suspension,Back,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1239-suspension-self-assisted-pull-up.html
1095,Suspension Self assisted Triceps Dip,Suspension,Upper Arms,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://www.gymvisual.com/illustrations/1240-suspension-self-assisted-triceps-dip.html
1096,Suspension Shoulder External Rotation,Suspension,Back,"Infraspinatus, Teres Minor ","Deltoid Posterior, Teres Major, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1241-suspension-shoulder-external-rotation.html
1097,Suspension Side Bend,Suspension,Waist,Obliques,"Adductor Brevis, Adductor Longus, Gracilis, Iliopsoas, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1242-suspension-side-bend.html
1098,Suspension Side Bridge,Suspension,Waist,Obliques,"Adductor Brevis, Adductor Longus, Deltoid Lateral, Gracilis, Iliopsoas, Pectineous, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1243-suspension-side-bridge.html
1099,Suspension Single Leg Split Squat (self assisted),Suspension,Hips,Gluteus Maximus,"Adductor Magnus, Quadriceps, Soleus",https://www.gymvisual.com/illustrations/1244-suspension-single-leg-split-squat-self-assisted.html
1100,Suspension Single Leg Split Squat,Suspension,Hips,Gluteus Maximus,"Adductor Magnus, Quadriceps, Soleus",https://www.gymvisual.com/illustrations/1245-suspension-single-leg-split-squat.html
1101,Suspension Single Leg Squat,Suspension,Hips,Gluteus Maximus,"Adductor Magnus, Quadriceps, Soleus",https://www.gymvisual.com/illustrations/1246-suspension-single-leg-squat.html
1102,Suspension Straight Hip Leg Curl,Suspension,Thighs,Hamstrings,Gastrocnemius,https://www.gymvisual.com/illustrations/1247-suspension-straight-hip-leg-curl.html
1103,Suspension Triceps Dip,Suspension,Upper Arms,Triceps Brachii,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",https://www.gymvisual.com/illustrations/1248-suspension-triceps-dip.html
1104,Suspension Triceps Extension,Suspension,Upper Arms,Triceps Brachii,,https://www.gymvisual.com/illustrations/1249-suspension-triceps-extension.html
1105,Suspension Twist,Suspension,Waist,Obliques,"Gluteus Medius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1250-suspension-twist.html
1106,Suspension Twisting Jack knife,Suspension,Waist,Obliques,"Iliopsoas, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1251-suspension-twisting-jack-knife.html
1107,Suspension Y Lateral Raise,Suspension,Shoulders,Deltoid Lateral,"Deltoid Anterior, Pectoralis Major Clavicular Head, Serratus Anterior, Teres Major",https://www.gymvisual.com/illustrations/1252-suspension-y-lateral-raise.html
1108,Suspension Arm Curl-to-Ears,Suspension,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/1257-suspension-arm-curl-to-ears.html
1109,Suspension Biceps Clutch,Suspension,Upper Arms,Biceps Brachii,"Brachialis, Deltoid Posterior",https://www.gymvisual.com/illustrations/1258-suspension-biceps-clutch.html
1110,Suspension Body Saw,Suspension,Waist,"Deltoid Anterior, Rectus Abdominis","Latissimus Dorsi, Pectoralis Major Clavicular Head, Serratus Anterior",https://www.gymvisual.com/illustrations/1259-suspension-body-saw.html
1111,Suspension Close-grip Chest Press,Suspension,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1260-suspension-close-grip-chest-press.html
11111111,Illustration,,,,,undefined
1112,Suspension Crunch,Suspension,Waist,"Iliopsoas, Rectus Abdominis",Obliques,https://www.gymvisual.com/illustrations/1261-suspension-crunch.html
1113,Suspension Face Pull,Suspension,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Pectoralis Major Sternal Head, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1262-suspension-face-pul.html
1114,Suspension Front Plank,Suspension,Waist,Rectus Abdominis,"Obliques, Quadriceps, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1263-suspension-front-plank.html
1115,Suspension Handstand Push-up,Suspension,Upper Arms,Triceps Brachii,"Deltoid Lateral, Serratus Anterior, Teres Major",https://www.gymvisual.com/illustrations/1264-suspension-handstand-push-up.html
1116,Suspension Incline Push-up,Suspension,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/1265-suspension-incline-push-up.html
1117,Suspension Jump Squat,Suspension,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Soleus",https://www.gymvisual.com/illustrations/1266-suspension-jump-squat.html
1118,Suspension Lat Stretch,Suspension,Back,Latissimus Dorsi,Obliques,https://www.gymvisual.com/illustrations/1267-suspension-lat-stretch.html
1119,Suspension Lunge Back Crossover,Suspension,Thighs,Quadriceps,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Pectineous, Soleus, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1268-suspension-lunge-back-crossover.html
1120,Suspension Middle Row,Suspension,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1269-suspension-middle-row.html
1121,Suspension Mountain Climber Push-up,Suspension,Hips,"Iliopsoas, Pectoralis Major Sternal Head","Adductor Brevis, Adductor Longus, Deltoid Anterior, Pectineous, Pectoralis Major Clavicular Head, Sartorius, Triceps Brachii",https://www.gymvisual.com/illustrations/1270-suspension-mountain-climber-push-up.html
1122,Suspension Oblique Rollout,Suspension,Waist,Obliques,"Adductor Brevis, Adductor Longus, Iliopsoas, Latissimus Dorsi, Pectineous, Rectus Abdominis, Sartorius, Teres Major",https://www.gymvisual.com/illustrations/1271-suspension-oblique-rollout.html
1123,Suspension One Arm Biceps Curl,Suspension,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/1272-suspension-one-arm-biceps-curl.html
1124,Suspension One Arm Chest Press,Suspension,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1273-suspension-one-arm-chest-press.html
1125,Suspension One Arm Leg Push-up,Suspension,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1274-suspension-one-arm-leg-push-up.html
1126,Suspension One Leg Chest Press,Suspension,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1275-suspension-one-leg-chest-press.html
1127,Suspension Pull-up (version 2),Suspension,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Pectoralis Major Sternal Head, Rectus Abdominis",https://www.gymvisual.com/illustrations/1276-suspension-pull-up-version-2.html
1128,Suspension Push-up,Suspension,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1277-suspension-push-up.html
1129,Suspension Rear Lunge,Suspension,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/1278-suspension-rear-lunge.html
1130,Suspension Reverse Fly Wake-up,Suspension,Back,"Deltoid Posterior , Gluteus Maximus","Gastrocnemius, Infraspinatus, Sartorius, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1279-suspension-reverse-fly-wake-up.html
1131,Suspension Side Cross Lunge,Suspension,Thighs,Quadriceps,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gluteus Maximus, Pectineous, Soleus, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1280-suspension-side-cross-lunge.html
1132,Suspension Side Lunge,Suspension,Thighs,"Adductor Brevis, Adductor Longus, Gracilis, Quadriceps",Pectineous,https://www.gymvisual.com/illustrations/1281-suspension-side-lunge.html
1133,Suspension Single Arm Rear Delt Row,Suspension,Shoulders,Deltoid Posterior ,"Brachialis, Brachioradialis, Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1282-suspension-single-arm-rear-delt-row.html
1134,Suspension Single Leg Plank (straight arm),Suspension,Waist,Rectus Abdominis,"Obliques, Quadriceps, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1283-suspension-single-leg-plank-straight-arm.html
1135,Suspension Single Leg Plank,Suspension,Waist,Rectus Abdominis,"Obliques, Quadriceps, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1284-suspension-single-leg-plank.html
1136,Suspension Single Leg Squat (figure),Suspension,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/1285-suspension-single-leg-squat-figure.html
1137,Suspension Sit-up,Suspension,Waist,"Iliopsoas, Rectus Abdominis","Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1286-suspension-sit-up.html
1138,Suspension Spiderman Push-up,Suspension,Hips,"Gluteus Medius, Pectoralis Major Sternal Head","Deltoid Anterior, Gluteus Maximus, Pectoralis Major Clavicular Head, Quadriceps, Tensor Fasciae Latae, Triceps Brachii",https://www.gymvisual.com/illustrations/1287-suspension-spiderman-push-up.html
1139,Suspension Split Fly,Suspension,Shoulders,"Deltoid Anterior, Deltoid Posterior ","Deltoid Lateral, Serratus Anterior, Teres Major, Triceps Brachii",https://www.gymvisual.com/illustrations/1288-suspension-split-fly.html
1140,Suspension Sprinter,Suspension,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Hamstrings, Soleus",https://www.gymvisual.com/illustrations/1289-suspension-sprinter.html
1141,Suspension Squat (Arms Overhead),Suspension,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/1290-suspension-squat-arms-overhead.html
1142,Suspension Squat Power Pull,Suspension,Thighs,"Infraspinatus, Latissimus Dorsi, Quadriceps, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Deltoid Posterior, Gluteus Maximus, Obliques, Soleus",https://www.gymvisual.com/illustrations/1291-suspension-squat-power-pull.html
1143,Suspension Squat,Suspension,Thighs,Quadriceps,"Adductor Magnus, Gluteus Maximus, Soleus",https://www.gymvisual.com/illustrations/1292-suspension-squat.html
1144,Suspension Standing Ab Rollout,Suspension,Waist,Rectus Abdominis,"Deltoid Posterior, Latissimus Dorsi, Tensor Fasciae Latae, Teres Major",https://www.gymvisual.com/illustrations/1293-suspension-standing-ab-rollout.html
1145,Suspension Star Plank,Suspension,Waist,Obliques,,https://www.gymvisual.com/illustrations/1294-suspension-star-plank.html
1146,Suspension Star Push-up,Suspension,Waist,"Obliques, Pectoralis Major Sternal Head","Adductor Brevis, Adductor Longus, Deltoid Anterior, Gluteus Maximus, Gluteus Medius, Iliopsoas, Pectineous, Pectoralis Major Clavicular Head, Rectus Abdominis, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1295-suspension-star-push-up.html
1147,Suspension Supine Crunch,Suspension,Waist,"Iliopsoas, Rectus Abdominis","Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1296-suspension-supine-crunch.html
1148,Suspension Supine Plank,Suspension,Waist,"Deltoid Anterior, Deltoid Lateral, Rectus Abdominis","Obliques, Quadriceps",https://www.gymvisual.com/illustrations/1297-suspension-supine-plank.html
1149,Suspension Triceps Extension Push-up,Suspension,Upper Arms,Triceps Brachii,,https://www.gymvisual.com/illustrations/1298-suspension-triceps-extension-push-up.html
1150,Suspension Triceps Kickback,Suspension,Upper Arms,Triceps Brachii,,https://www.gymvisual.com/illustrations/1299-suspension-triceps-kickback.html
1151,Suspension Twist Side,Suspension,Waist,"Deltoid Anterior, Obliques","Adductor Brevis, Adductor Longus, Iliopsoas, Pectineous, Rectus Abdominis, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1300-suspension-twist-side.html
1152,Suspension Twist-Up,Suspension,Waist,Obliques,"Adductor Brevis, Adductor Longus, Iliopsoas, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1301-suspension-twist-up.html
1153,Suspension Upper Back Stretch,Suspension,Back,Erector Spinae,,https://www.gymvisual.com/illustrations/1302-suspension-upper-back-stretch.html
1154,Suspension Calf Raise,Suspension,Calves,Gastrocnemius,Soleus,https://www.gymvisual.com/illustrations/1303-suspension-calf-raise.html
1155,Suspension Single Leg Deadlift,Suspension,Hips,Gluteus Maximus,Hamstrings,https://www.gymvisual.com/illustrations/1304-suspension-single-leg-deadlift.html
1156,Suspension Pendulum,Suspension,Waist,Obliques,"Gluteus Medius, Iliopsoas, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1305-suspension-pendulum.html
1157,Suspension Hip Hinge,Suspension,Hips,Gluteus Maximus,"Hamstrings, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1306-suspension-hip-hinge.html
1158,Suspension Side Stretch,Suspension,Thighs,Quadriceps,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gluteus Maximus, Gluteus Medius, Gracilis, Soleus, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1307-suspension-side-stretch.html
1159,Suspension Abduction Lunge,Suspension,Thighs,"Adductor Brevis, Adductor Longus, Pectineous, Quadriceps","Adductor Magnus, Gluteus Medius, Soleus, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1308-suspension-abduction-lunge.html
1160,Burpee,Body weight,Cardio,,,https://www.gymvisual.com/illustrations/1309-burpee.html
1161,Rowing (with rowing machine),Leverage machine,Cardio,,,https://www.gymvisual.com/illustrations/1310-rowing-with-rowing-machine.html
1162,Barbell Standing Military Press,Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/1311-barbell-standing-military-press.html
1163,Lying Leg Raise,Body weight,Waist,Rectus Abdominis,"Gluteus Maximus, Iliopsoas, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1312-lying-leg-raise.html
1164,Smith Calf Raise (version 2),Smith machine,Calves,Gastrocnemius,Soleus,https://www.gymvisual.com/illustrations/1313-smith-calf-raise-version-2.html
1165,Barbell Standing Military Press (without rack),Barbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/1314-barbell-standing-military-press-without-rack.html
1166,Jump Split (male),Body weight,Plyometrics,,,https://www.gymvisual.com/illustrations/1315-jump-split-male.html
1167,Dynamic Chest Stretch (male),Body weight,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,https://www.gymvisual.com/illustrations/1316-dynamic-chest-stretch-male.html
1168,Lying (prone) Abdominal Stretch (male),Body weight,Waist,Rectus Abdominis,,https://www.gymvisual.com/illustrations/1317-lying-prone-abdominal-stretch-male.html
1169,Seated Groin Stretch (male),Body weight,Hips,"Adductor Brevis, Adductor Longus, Adductor Magnus, Pectineous",,https://www.gymvisual.com/illustrations/1318-seated-groin-stretch-male.html
1170,45 degree one leg hyperextension (arms in front of chest),Body weight,Hips,"Erector Spinae, Hamstrings",Gluteus Maximus,https://www.gymvisual.com/illustrations/1319-45-degree-one-leg-hyperextension-arms-in-front-of-chest.html
1171,45 degree twisting hyperextension,Body weight,Hips,"Erector Spinae, Hamstrings, Obliques",Gluteus Maximus,https://www.gymvisual.com/illustrations/1320-45-degree-twisting-hyperextension.html
1172,Assisted Weighted Push-up,Weighted,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1321-assisted-weighted-push-up.html
1173,Barbell Incline Wide Reverse-grip Bench Press,Barbell,Chest,Pectoralis Major Clavicular Head,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Pectoralis Major Sternal Head, Serratus Anterior, Triceps Brachii",https://www.gymvisual.com/illustrations/1322-barbell-incline-wide-reverse-grip-bench-press.html
1174,Diamond Push-up (on knees),Body weight,Upper Arms,Triceps Brachii,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head",https://www.gymvisual.com/illustrations/1323-diamond-push-up-on-knees.html
1175,Dumbbell forward leaning lunge,Dumbbell,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Gastrocnemius, Soleus",https://www.gymvisual.com/illustrations/1324-dumbbell-forward-leaning-lunge.html
1176,Dumbbell Incline Front Raise,Dumbbell,Shoulders,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",https://www.gymvisual.com/illustrations/1325-dumbbell-incline-front-raise.html
1177,Dumbbell Lying Hammer Press (version 2),Dumbbell,Chest,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1326-dumbbell-lying-hammer-press-version-2.html
1178,Dumbbell Standing Single Leg Calf Raise,Dumbbell,Calves,Gastrocnemius,Soleus,https://www.gymvisual.com/illustrations/1327-dumbbell-standing-single-leg-calf-raise.html
1179,Flutter Kicks (version 2),Body weight,Hips,Gluteus Maximus,Hamstrings,https://www.gymvisual.com/illustrations/1328-flutter-kicks-version-2.html
1180,Lying Simultaneous Alternating Straight Leg Raise,Body weight,Hips,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1329-lying-simultaneous-alternating-straight-leg-raise.html
1181,Lying Straight Leg Raise (version 2),Body weight,Hips,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1330-lying-straight-leg-raise-version-2.html
1182,Push-up (on knees),Body weight,Chest,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1331-push-up-on-knees.html
1183,Smith kneeling rear kick,Smith machine,Hips,Gluteus Maximus,Hamstrings,https://www.gymvisual.com/illustrations/1332-smith-kneeling-rear-kick.html
1184,Weighted Inverted Row,Weighted,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Deltoid Posterior, Triceps Brachii",https://www.gymvisual.com/illustrations/1333-weighted-inverted-row.html
1185,45 degree Bycicle Twisting Crunch,Body weight,Waist,"Obliques, Rectus Abdominis","Gluteus Maximus, Iliopsoas, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1334-45-degree-bycicle-twisting-crunch.html
1186,Alternate Straight Leg Raise (on bosu ball),Bosu ball,Waist,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Obliques, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1335-alternate-straight-leg-raise-on-bosu-ball.html
1187,Kettlebell Sit-up,Kettlebell,Waist,Rectus Abdominis,Obliques,https://www.gymvisual.com/illustrations/1336-kettlebell-sit-up.html
1188,Weighted Twisting Crunch (on bench),Weighted,Waist,"Iliopsoas, Obliques, Rectus Abdominis","Gluteus Maximus, Quadriceps, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1337-weighted-twisting-crunch-on-bench.html
1189,Weighted V-Crunch (on bosu ball),Bosu ball,Waist,"Iliopsoas, Rectus Abdominis","Adductor Brevis, Adductor Longus, Obliques, Pectineous, Quadriceps, Sartorius",https://www.gymvisual.com/illustrations/1338-weighted-v-crunch-on-bosu-ball.html
1190,Incline Twisting Sit-up (version 2),Body weight,Waist,"Iliopsoas, Obliques","Pectineous, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1348-incline-twisting-sit-up-version-2.html
1191,Triceps Press (Head Below Bench),Body weight,Upper Arms,Triceps Brachii,Pectoralis Major Sternal Head,https://www.gymvisual.com/illustrations/1361-triceps-press-head-below-bench.html
1193,Iron Cross Plank,Body weight,Back,"Gluteus Maximus, Latissimus Dorsi, Obliques, Rectus Abdominis, Trapezius Lower Fibers, Trapezius Middle Fibers",,https://www.gymvisual.com/illustrations/1364-iron-cross-plank.html
1194,Lever Lying T-bar Row,Leverage machine,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1374-lever-lying-t-bar-row.html
1195,Lever Incline Hammer Chest Press,Leverage machine,Chest,Pectoralis Major Clavicular Head,"Deltoid Anterior, Pectoralis Major Sternal Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1375-lever-incline-hammer-chest-press.html
1196,Dumbbell Alternate Biceps Curl,Dumbbell,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis",https://www.gymvisual.com/illustrations/1376-dumbbell-alternate-biceps-curl.html
1197,Squat (male),Body weight,Thighs,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",https://www.gymvisual.com/illustrations/1377-squat-male.html
1198,Jumping Pull-up,Body weight,Back,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Gluteus Maximus, Hamstrings, Infraspinatus, Pectoralis Major Sternal Head, Quadriceps, Soleus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1413-jumping-pull-up.html
1199,Sumo Deadlift High Pull,Barbell,Shoulders,"Deltoid Lateral, Gluteus Maximus, Quadriceps","Adductor Magnus, Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Gastrocnemius, Infraspinatus, Soleus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1414-sumo-deadlift-high-pull.html
1200,Push Press,Barbell,Shoulders,,,https://www.gymvisual.com/illustrations/1415-push-press.html
1201,Dumbbell burpee,Dumbbell,Cardio,,,https://www.gymvisual.com/illustrations/1416-dumbbell-burpee.html
1202,Cable horizontal Pallof Press,Cable,Waist,Obliques,,https://www.gymvisual.com/illustrations/1417-cable-horizontal-pallof-press.html
1203,Cable one arm inner biceps curl,Cable,Upper Arms,Brachialis,"Biceps Brachii, Brachioradialis",https://www.gymvisual.com/illustrations/1418-cable-one-arm-inner-biceps-curl.html
1204,Cable one arm lat pulldown,Cable,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Obliques, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers",https://www.gymvisual.com/illustrations/1419-cable-one-arm-lat-pulldown.html
1205,Cable one arm twisting seated row,Cable,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Obliques, Pectoralis Major Sternal Head, Triceps Brachii",https://www.gymvisual.com/illustrations/1420-cable-one-arm-twisting-seated-row.html
1206,Cable pull through,Cable,Hips,Gluteus Maximus,"Erector Spinae, Hamstrings",https://www.gymvisual.com/illustrations/1421-cable-pull-through.html
1207,Cable twist (down up),Cable,Waist,Obliques,"Adductor Longus, Adductor Magnus, Gluteus Medius, Iliopsoas, Pectineous, Tensor Fasciae Latae",https://www.gymvisual.com/illustrations/1422-cable-twist-down-up.html
